id,is_premium,title,topic_tags,difficulty,similar_questions,no_similar_questions,acceptance,accepted,submission,discussion_count,likes,dislikes,problem_URL
1,False,Two Sum,"['Array', 'Hash Table']",Easy,"['3Sum', '4Sum', 'Two Sum II - Input Array Is Sorted', 'Two Sum III - Data structure design', 'Subarray Sum Equals K', 'Two Sum IV - Input is a BST', 'Two Sum Less Than K', 'Max Number of K-Sum Pairs', 'Count Good Meals', 'Count Number of Pairs With Absolute Difference K', 'Number of Pairs of Strings With Concatenation Equal to Target', 'Find All K-Distant Indices in an Array', 'First Letter to Appear Twice', 'Number of Excellent Pairs', 'Number of Arithmetic Triplets', 'Node With Highest Edge Score', 'Check Distances Between Same Letters', 'Find Subarrays With Equal Sum', 'Largest Positive Integer That Exists With Its Negative', 'Number of Distinct Averages', 'Count Pairs Whose Sum is Less than Target']",21,56.40654891837762,19108936,33877188,1613,64771,2393,https://leetcode.com/problems/two-sum/
2,False,Add Two Numbers,"['Linked List', 'Math', 'Recursion']",Medium,"['Multiply Strings', 'Add Binary', 'Sum of Two Integers', 'Add Strings', 'Add Two Numbers II', 'Add to Array-Form of Integer', 'Add Two Polynomials Represented as Linked Lists', 'Double a Number Represented as a Linked List']",8,47.09404224633889,6289173,13354487,982,35004,6995,https://leetcode.com/problems/add-two-numbers/
3,False,Longest Substring Without Repeating Characters,"['Hash Table', 'String', 'Sliding Window']",Medium,"['Longest Substring with At Most Two Distinct Characters', 'Longest Substring with At Most K Distinct Characters', 'Subarrays with K Different Integers', 'Maximum Erasure Value', 'Number of Equal Count Substrings', 'Minimum Consecutive Cards to Pick Up', 'Longest Nice Subarray', 'Optimal Partition of String', 'Count Complete Subarrays in an Array', 'Find Longest Special Substring That Occurs Thrice II', 'Find Longest Special Substring That Occurs Thrice I']",11,37.70646019906447,8276601,21950095,713,43307,2116,https://leetcode.com/problems/longest-substring-without-repeating-characters/
4,False,Median of Two Sorted Arrays,"['Array', 'Binary Search', 'Divide and Conquer']",Hard,['Median of a Row Wise Sorted Matrix'],1,44.915826906923286,3752102,8353652,815,31042,3489,https://leetcode.com/problems/median-of-two-sorted-arrays/
5,False,Longest Palindromic Substring,"['Two Pointers', 'String', 'Dynamic Programming']",Medium,"['Shortest Palindrome', 'Palindrome Permutation', 'Palindrome Pairs', 'Longest Palindromic Subsequence', 'Palindromic Substrings', 'Maximum Number of Non-overlapping Palindrome Substrings']",6,36.56633957957944,4214344,11525218,520,31637,1949,https://leetcode.com/problems/longest-palindromic-substring/
6,False,Zigzag Conversion,['String'],Medium,[],0,52.530648522575,1937369,3688079,479,8882,15640,https://leetcode.com/problems/zigzag-conversion/
7,False,Reverse Integer,['Math'],Medium,"['String to Integer (atoi)', 'Reverse Bits', 'A Number After a Double Reversal', 'Count Number of Distinct Integers After Reverse Operations']",4,30.902040792532382,4452752,14409235,604,14773,13883,https://leetcode.com/problems/reverse-integer/
8,False,String to Integer (atoi),['String'],Medium,"['Reverse Integer', 'Valid Number', 'Check if Numbers Are Ascending in a Sentence']",3,19.901188739901603,2171077,10909283,843,5789,15164,https://leetcode.com/problems/string-to-integer-atoi/
9,False,Palindrome Number,['Math'],Easy,"['Palindrome Linked List', 'Find Palindrome With Fixed Length', 'Strictly Palindromic Number', '  Count Symmetric Integers', 'Find the Count of Good Integers', 'Find the Largest Palindrome Divisible by K']",6,59.75291212454616,7096048,11875659,627,14866,2865,https://leetcode.com/problems/palindrome-number/
10,False,Regular Expression Matching,"['String', 'Dynamic Programming', 'Recursion']",Hard,['Wildcard Matching'],1,29.769652881080354,1247974,4192098,488,13011,2345,https://leetcode.com/problems/regular-expression-matching/
11,False,Container With Most Water,"['Array', 'Two Pointers', 'Greedy']",Medium,"['Trapping Rain Water', 'Maximum Tastiness of Candy Basket', 'House Robber IV']",3,58.820831099430116,4641902,7891600,755,32743,2100,https://leetcode.com/problems/container-with-most-water/
12,False,Integer to Roman,"['Hash Table', 'Math', 'String']",Medium,"['Roman to Integer', 'Integer to English Words']",2,69.56610033057693,1894352,2723102,189,8159,5694,https://leetcode.com/problems/integer-to-roman/
13,False,Roman to Integer,"['Hash Table', 'Math', 'String']",Easy,['Integer to Roman'],1,65.59780197212636,5270424,8034458,541,16721,1164,https://leetcode.com/problems/roman-to-integer/
14,False,Longest Common Prefix,"['Array', 'String', 'Trie']",Easy,"['Smallest Missing Integer Greater Than Sequential Prefix Sum', 'Find the Length of the Longest Common Prefix', 'Longest Common Suffix Queries', 'Longest Common Prefix After at Most One Removal']",4,46.316684435736995,5040696,10883108,601,20133,4825,https://leetcode.com/problems/longest-common-prefix/
15,False,3Sum,"['Array', 'Two Pointers', 'Sorting']",Medium,"['Two Sum', '3Sum Closest', '4Sum', '3Sum Smaller', 'Number of Arithmetic Triplets', 'Minimum Sum of Mountain Triplets I', 'Minimum Sum of Mountain Triplets II']",7,37.825627387415715,5216431,13790732,712,34142,3185,https://leetcode.com/problems/3sum/
16,False,3Sum Closest,"['Array', 'Two Pointers', 'Sorting']",Medium,"['3Sum', '3Sum Smaller']",2,47.36993684496723,1616819,3413180,165,11259,609,https://leetcode.com/problems/3sum-closest/
